q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q21014011_00: The Warm Night Outlaw                                                    | 熱帯夜の無法者
q21014012_00: Searching for a Partner!                                                 | 相棒を探して！
q21014013_00:                                                                          | 覚者隊の失態
q21014014_00: Water Grove Wayfarers                                                    | 水林の旅人達
q21014015_00:                                                                          | 見せしめの勲章
q21014016_00:                                                                          | 類猿の血族
q21014017_00:                                                                          | 密林に輝く純白
q21014018_00: Elanic Contrast                                                          | エラニック・コントラスト
q21014019_00:                                                                          | 毒秘めし同胞
q21014020_00:                                                                          | 蔦覆い隠す呼び声
q21014021_00:                                                                          | 踏み砕かれた心
q21014022_00: High Difficulty: 駆けゆく野生                                                  | 【高難度】駆けゆく野生
q21014023_00: Time Restriction: 暁の採泥道                                                  | 【時限採取】暁の採泥道
q21014024_00: Door of Gemstones: 野獣たちの咆哮                                               | 【昌石の扉】野獣たちの咆哮
q21015000_00: The Store Girl's Trials                                                  | 看板娘の小手調べ
q21015001_00:                                                                          | 殊勝なる若輩者
q21015002_00: High Difficulty: The Specter's Invasion                                  | 【高難度】魔影の侵攻
q21015003_00: To the Faraway Child                                                     | 遠き地の子へ
q21015004_00:                                                                          | 未来を見据える瞳
q21015005_00: Time Restriction: Midday Harvest                                         | 【時限採取】真昼の採草道
q21015006_00: Time Restriction: Cloudy Mining                                          | 【時限採取】曇天の採石道
q21015007_00: Door of Gemstones: Cruel Steel Claws                                     | 【昌石の扉】無慈悲なる鋼爪
q21015008_00: Pride of the Weak                                                        | 弱腰の矜持
q21015009_00: Ordeal of the Weak                                                       | 弱腰の試練
q21015010_00:                                                                          | 昔取った槍柄
q21015011_00:                                                                          | 寡黙な師弟愛
q21015012_00: A Foreign Investigation                                                  | 異邦捜査線
q21015013_00: The Troubled Fortification                                               | 惑いし砦守
q21015014_00:                                                                          | 消えた僚友
q21015015_00:                                                                          | かの日の強者
q21015016_00:                                                                          | 水路を焦がす稲妻
q21015017_00:                                                                          | 好奇が呼ぶ不穏
q21015018_00:                                                                          | 残酷なる翼影
q21015019_00:                                                                          | 猛き尾と芳しき翼
q21015020_00:                                                                          | 無縫の墓荒らし
q21015021_00:                                                                          | 小妖精の王
q21015022_00: High Difficulty: 猛き王者の咆哮                                                 | 【高難度】猛き王者の咆哮
q21015023_00: Time Restriction: 真夜中の採岩道                                                | 【時限採取】真夜中の採岩道
q21015024_00: Door of Treasures: 氷河裂く爪                                                 | 【財宝の扉】氷河裂く爪
q21016000_00: Source of Disturbance                                                    | 騒ぎの原因
q21016001_00:                                                                          | 噂の検証
q21016002_00: High Difficulty: To End This                                             | 【高難度】終止符を打つために
q21016003_00: A Kind Reward                                                            | 優しさの報酬
q21016004_00: The Young Custodian                                                      | 幼き家守
q21016005_00: Time Restriction: 夕暮の採木道                                                 | 【時限採取】夕暮の採木道
q21016006_00: Time Restriction: Fine Weather Harvest                                   | 【時限採取】晴天の採草道
q21016007_00: Door of Dragon Force: 侵緑の暴虐者                                             | 【竜力の扉】侵緑の暴虐者
q21016008_00:                                                                          | 蝕鳥たちの舞
q21016009_00:                                                                          | 蒼き死路
q21016010_00: Guardian of the Diseased Forest                                          | 病み森の番人
q21016011_00:                                                                          | 理解への茨道
q21016012_00: Rampage of Old Soldiers                                                  | 老兵の大暴れ
q21016013_00:                                                                          | 鈍腕の好学者
q21016014_00: Assault of Demons                                                        | 侵魔の強襲
q21016015_00:                                                                          | 賢者の眠る地
q21016016_00:                                                                          | 侵鬼の手招き
q21016017_00:                                                                          | 緑園のために
q21016018_00:                                                                          | 異形の二本足
q21016019_00:                                                                          | 跋扈する狂獣たち
q21016020_00:                                                                          | 彷徨う傀儡
q21016021_00:                                                                          | 淀みの狂翼
q21016022_00: High Difficulty: The Green Demon's Return                                | 【高難度】再来の緑魔
q21016023_00: Time Restriction: 雨天の採木道                                                 | 【時限採取】雨天の採木道
q21016024_00: Door of Jewelry: 穢れし森の宝守り                                                | 【宝飾の扉】穢れし森の宝守り
q21017000_00: Dining Danger                                                            | 食堂の危機
q21017001_00:                                                                          | 竜魔事変
q21017002_00: High Difficulty: The Mayhem Abyss                                        | 【高難度】深淵の伏魔殿
q21017003_00:                                                                          | 支援の対価
q21017004_00:                                                                          | 先見の明
q21017005_00: Time Restriction: Daybreak Mining                                        | 【時限採取】早朝の採石道
q21017006_00: Time Restriction: Fine Weather Treasure Hunt                             | 【時限採取】晴天の採宝道
q21017007_00: Door of Jewelry: Elegy of the Grotesque                                  | 【宝飾の扉】異形たちの挽歌
q21017008_00:                                                                          | 長考の種
q21017009_00:                                                                          | 明日を担う瞳
q21017010_00:                                                                          | 冷徹なる獣道
q21017011_00: Just Reparations                                                         | 正義の代償
q21017012_00:                                                                          | 蝕みの足音
q21017013_00:                                                                          | 消えた足音に気付く時
q21017014_00: Concealed Kindliness                                                     | 隠された懇情
q21017015_00: An Evil Gaze                                                             | 魔の視線
q21017016_00:                                                                          | スクラップ・メイカー
q21017017_00:                                                                          | いにしえの復讐鬼
q21017018_00:                                                                          | 闇獣使いの魔女
q21017019_00:                                                                          | 凍て付きし業炎
q21017020_00:                                                                          | 旧知の宿敵
q21017021_00:                                                                          | 防疫の証明
q21017022_00: High Difficulty: A Disastrous Encounter                                  | 【高難度】邂逅の厄災
q21017023_00: Time Restriction: 曇天の採掘道                                                 | 【時限採取】曇天の採掘道
q21017024_00: Door of Dragon Force: 招かれざる侵翼                                            | 【竜力の扉】招かれざる侵翼
q22018000_00:                                                                          | 弱り目に盗み目
q22018001_00:                                                                          | 悪鬼軍の青田刈り
q22018002_00:                                                                          | 命知らずの敢行
q22018003_00:                                                                          | 弱卒の憂さ晴らし
q22018004_00:                                                                          | 想いし君へ
q22018005_00:                                                                          | 高みの奉仕家
q22018006_00:                                                                          | 日和見の魔物捕り
q22018007_00: Time Restriction: 暮夜の採草道                                                 | 【時限採取】暮夜の採草道
q22018008_00:                                                                          | 騒乱の野獣たち
q22018009_00:                                                                          | 異邦の隣人愛
q22018010_00:                                                                          | 武装鬼軍の奇襲
q22018011_00:                                                                          | 暗躍者の露払い
q22018012_00: Time Restriction: 鬼の居ぬ間の採石道                                              | 【時限採取】鬼の居ぬ間の採石道
q22018013_00:                                                                          | 豪商の恩返し
q22018014_00:                                                                          | 剣呑たる白昼夢
q22018015_00:                                                                          | 女番頭の憂い事
q22018016_00: High Difficulty: Evil Dragon Army, Attack!                               | 【高難度】悪しき竜軍、強襲！
q22018017_00:                                                                          | 行商人の気配り
q22018018_00:                                                                          | 自立への投資
q22018019_00:                                                                          | 睦まじき日をもう一度
q22018020_00:                                                                          | 悪鬼中隊の進撃
q22018021_00:                                                                          | 一宿一飯の恩
q22018022_00: Time Restriction: 晴天の採取道                                                 | 【時限採取】晴天の採取道
q22018023_00:                                                                          | 命知らずの命運
q22018024_00:                                                                          | 絆湛えし瞳
q22018025_00:                                                                          | 伏し迫るオーク小隊
q22018026_00:                                                                          | より所の守り人
q22018027_00: Time Restriction: 鬼の居ぬ間の採取道                                              | 【時限採取】鬼の居ぬ間の採取道
q22018028_00:                                                                          | 不安の矛先
q22018029_00:                                                                          | ちいさなおねがい
q22018030_00:                                                                          | 積怨の禍つ鎧
q22018031_00: High Difficulty: Exorcising a Hundred Ghosts and a Thousand Demons       | 【高難度】百鬼千魔を調伏せよ
q22018032_00: The White Terror                                                         | 真白き戦慄
q22018033_00:                                                                          | いにしえの邪眼
q22018034_00:                                                                          | 暗然たる森の悪夢
q22018035_00:                                                                          | 不撓不屈の証明
q22018036_00:                                                                          | やるかたなき宿怨
q22018037_00:                                                                          | 練磨の魁
q22018038_00:                                                                          | 闇より溢れ出る異変
q22018039_00:                                                                          | 飛んで火に入る闖入者
q22018040_00:                                                                          | 最後の嘘
q22018041_00:                                                                          | 霧の中に猛る狂乱
q22018042_00:                                                                          | 怪異は深き闇に潜む
q22018043_00:                                                                          | 不穏の先触れ
q22018044_00:                                                                          | 蠱惑のアジテーション
q22018045_00:                                                                          | 門番の矜持
q22018046_00: Time Restriction: 早暁の採虫道                                                 | 【時限採取】早暁の採虫道
q22018047_00: Time Restriction: 鬼の居ぬ間の回収道                                              | 【時限採取】鬼の居ぬ間の回収道
q22018048_00:                                                                          | 独りよがりの信念
q22018049_00: High Difficulty: 逆襲の悪鬼軍                                                  | 【高難度】逆襲の悪鬼軍
q22018050_00:                                                                          | 暗晦の炎
q29300000_00: Dacreim Fortress Recapture Battle                                        | ダクレイム砦奪還戦
q29300001_00: Jifule Fortress Capture Battle                                           | ジフール砦攻略戦
q29300002_00:                                                                          | 霧の森の死闘
q29999989_00:                                                                          | クエスト検証用ID１
q29999990_00:                                                                          | クエスト検証用ID２
q29999991_00:                                                                          | 須田テスト突発！
q29999992_00:                                                                          | 須田テスト用納品
q29999993_00:                                                                          | クエスト検証用ID５
q29999994_00:                                                                          | 須田テスト用クエスト
q29999995_00:                                                                          | クエスト検証用ID７
q29999996_00:                                                                          | クエスト検証用ID８
q29999997_00:                                                                          | クエスト検証用ID９
q29999998_00:                                                                          | 2.2GM戦闘仮組
q29999999_00:                                                                          | 2.3ダンジョンクエスト検証用
q30200001_00:                                                                          | 執務官からの依頼
q30200002_00:                                                                          | お願いがあります
q30200003_00:                                                                          | 増えすぎた魔物
q30200004_00:                                                                          | 魔物征伐
q30200005_00:                                                                          | 執務官からの頼み事
q30200006_00:                                                                          | 執務官からの討伐依頼
q30200007_00:                                                                          | 力試しをしてみませんか？
q30200008_00:                                                                          | 治安維持のため
q30200009_00:                                                                          | 脅威排除
q30200010_00:                                                                          | レスタニア平安のため
q30200011_00:                                                                          | 欲しがりさんからの納品依頼
q30200012_00:                                                                          | これが欲しいの！
q30200013_00:                                                                          | 欲しがりさんからの頼まれ事
q30200014_00:                                                                          | あれが欲しいの！
q30200015_00:                                                                          | モノ好きさんからの納品依頼
q30200016_00:                                                                          | 備蓄のために
q30200017_00:                                                                          | モノ好きさんからの頼まれ事
q30200018_00:                                                                          | お友達からの相談
q30200019_00:                                                                          | 我儘娘の頼み事
q30200020_00: Resupply Help                                                            | 調達を手伝って
q30200021_00: High Difficulty: 討伐命令                                                    | 【高難度】討伐命令
q30200022_00: High Difficulty: 忌避すべき魔物                                                 | 【高難度】忌避すべき魔物
q30200023_00: High Difficulty: 覚者への試練                                                  | 【高難度】覚者への試練
q30200024_00: High Difficulty: 脅威は排除せよ                                                 | 【高難度】脅威は排除せよ
q30200025_00: High Difficulty: 平穏を脅かす者                                                 | 【高難度】平穏を脅かす者
q30200026_00: High Difficulty: 緊急討伐要請                                                  | 【高難度】緊急討伐要請
q30200027_00: High Difficulty: 討伐任務                                                    | 【高難度】討伐任務
q30200028_00: High Difficulty: 覚者への挑戦状                                                 | 【高難度】覚者への挑戦状
q30200029_00: High Difficulty: 緊急討伐命令                                                  | 【高難度】緊急討伐命令
q30200030_00: High Difficulty: 強者求む                                                    | 【高難度】強者求む
q30200031_00: High Difficulty: 調達のお願い                                                  | 【高難度】調達のお願い
q30200032_00: High Difficulty: 補給のお願い                                                  | 【高難度】補給のお願い
q30200033_00: High Difficulty: 物資手配依頼                                                  | 【高難度】物資手配依頼
q30200034_00: High Difficulty: 採取の代行                                                   | 【高難度】採取の代行
q30200035_00: High Difficulty: 友達のために                                                  | 【高難度】友達のために
q30200036_00: High Difficulty: 必要な物資                                                   | 【高難度】必要な物資
q30200037_00: High Difficulty: 納品依頼                                                    | 【高難度】納品依頼
q30200038_00: High Difficulty: 緊急補給要請                                                  | 【高難度】緊急補給要請
q30200039_00: High Difficulty: 物資確保のため                                                 | 【高難度】物資確保のため
q30200040_00: High Difficulty: 物資調達命令                                                  | 【高難度】物資調達命令
q40000001_00: Highway Security                                                         | 街道の安全確保
q40000002_00: Dangerous Beasts                                                         | 害獣駆除
q40000003_00: On the Outskirts                                                         | 周辺治安維持
q40000004_00: Growing Number of Monsters                                               | 魔物の増加傾向に関して
q40000005_00: White Knights: Protection of Travelers                                   | 白騎団　往来の安全確保
q40000006_00: White Knights: Elimination                                               | 白騎団　討伐任務
q40000007_00: White Knights: Emergency Elimination                                     | 白騎団　緊急討伐指令
q40000008_00: White Wings: Extermination (Hidell Plains)                               | 白翼覚者隊・駆除任務　ハイデル平原
q40000009_00: White Wings: Elimination (Hidell Plains)                                 | 白翼覚者隊・討伐任務　ハイデル平原
q40000010_00: Area Order: Temple Outskirts Demon Extermination                         | ＜エリアオーダー＞神殿近郊魔物征伐
q40000011_00: Would've Gone There                                                      | 本当は自分で行くんだが――
q40000012_00: For the Crafting Room                                                    | クラフトルーム備品補充のお願い
q40000013_00: Dents in Armor                                                           | 武具の手入れ用品お願い
q40000014_00: A Plea for Craft Materials                                               | クラフト材料譲ってくれよ
q40000015_00: Capitivated                                                              | あのヒトを虜に
q40000016_00: Actually, I Lost It!                                                     | じ、実は紛失したんです！
q40000017_00: For a Master                                                             | 我が主のために――
q40000018_00: White Wings: Collection (Hidell Plains)                                  | 白翼覚者隊・収集依頼　ハイデル平原
q40000019_00: White Wings: Delivery (Hidell Plains)                                    | 白翼覚者隊・納品依頼　ハイデル平原
q40000020_00: Area Order: White Dragon Temple Resupply                                 | ＜エリアオーダー＞白竜神殿補給
q40000021_00: A Hunting Competition                                                    | ハンティング競争
q40000022_00: Travel Safety                                                            | 周囲定期警戒
q40000023_00: Sick in the Stomach                                                      | 腹の具合が――
q40000024_00: Rags to Riches                                                           | 内緒の儲け話
q40000025_00: Trembling with Joy                                                       | 武者震い
q40000026_00: The Hidden Land                                                          | 他地域への侵入阻止
q40000027_00: Sparring Contest                                                         | 貴様の腕を見せてみろ
q40000028_00: Gritten Fort: Cooperation                                                | グリッテン砦・協力要請
q40000029_00: Gritten Fort: Elimination                                                | グリッテン砦・討伐任務
q40000030_00: Area Order: Fort Subjugation Mission                                     | ＜エリアオーダー＞砦の征伐任務
q40000031_00: Deadlines                                                                | 提出命令
q40000032_00: Resupplying Help                                                         | 調達を手伝ってくれ
q40000033_00: The Side Job                                                             | 内緒の小金稼ぎ
q40000034_00: From an Acquaintance                                                     | 知り合いの頼み
q40000035_00: A Personal Request                                                       | 私的依頼
q40000036_00: Souvenirs                                                                | 郷里への土産に
q40000037_00: Betland Materials Request                                                | バートランド名産品の入手依頼
q40000038_00: Gritten Fort: Collection                                                 | グリッテン砦・物資調達
q40000039_00: Gritten Fort: Delivery                                                   | グリッテン砦・補給手配
q40000040_00: Area Order: Gritten Fort Resupply                                        | ＜エリアオーダー＞グリッテン砦補給
q40000041_00: A Suspicious Glance                                                      | 怪しい視線
q40000042_00: A Traveler's Lament                                                      | 往来の悩み
q40000043_00: Out of Water                                                             | 水汲みもできやしない
q40000044_00: To Be Rid of Them                                                        | 退治するはずだったんだが
q40000045_00: Vengeance for the Pig!                                                   | ブタの仇をとって！
q40000046_00: The Cause of Illness                                                     | 病気の原因
q40000047_00: A Sight from the Tower                                                   | 塔から見たら――
q40000048_00: White Wings: Cooperation (Hidell Plains)                                 | 白翼覚者隊・協力要請　ハイデル平原
q40000049_00: White Wings: Elimination (Hidell Plains)                                 | 白翼覚者隊・討伐任務　ハイデル平原
q40000050_00: Area Order: Hidell Demon Extermination                                   | ＜エリアオーダー＞ハイデル魔物征伐
q40000051_00: Remedy Ingredients                                                       | 薬の材料を届けてください
q40000052_00: Equipment Repairs                                                        | 装具修理に
q40000053_00: Drinking Necessities                                                     | 酒の具材
q40000054_00: Fertilizer Ingredients                                                   | 肥料の材料
q40000055_00: Does Anyone Have This?                                                   | 誰かアレ持ってない？
q40000056_00: In Search of Rarities                                                    | 希少資材の提供依頼
q40000057_00: Hidell Materials Request                                                 | ハイデル名産品の入手依頼
q40000058_00: White Wings: Collection (Hidell Plains)                                  | 白翼覚者隊・収集依頼　ハイデル平原
q40000059_00: White Wings: Delivery (Hidell Plains)                                    | 白翼覚者隊・納品依頼　ハイデル平原
q40000060_00: Area Order: Hidell Resupply                                              | ＜エリアオーダー＞ハイデル補給
q40000061_00: The Hard Truth                                                           | 言いにくいのですが――
q40000062_00: An Uneasy Stroll                                                         | 散歩の不安
q40000063_00: The Guard's Concern                                                      | 警備が心配だ！
q40000064_00: Where'd That Come From?!                                                 | あんなのが出たんだよ！！
q40000065_00: A Demand                                                                 | 何とかせぃ
q40000066_00: Business Rivals                                                          | 商売仇
q40000067_00: What Lurks in the Waters                                                 | 青海に潜む危機
q40000068_00: White Wings: Cooperation (Breya Coast)                                   | 白翼覚者隊・協力要請　ブリア海岸
q40000069_00: White Wings: Elimination (Breya Coast)                                   | 白翼覚者隊・討伐任務　ブリア海岸
q40000070_00: Area Order: Breya Demon Extermination                                    | ＜エリアオーダー＞ブリア魔物征伐
q40000071_00: For the New Menu!                                                        | 海竜亭の新メニューにご協力を！
q40000072_00: Safe Arrival                                                             | 素材入荷に協力を
q40000073_00: A Treasure from the Sea                                                  | 海からの宝物
q40000074_00: For a Child                                                              | あの子のために
q40000075_00: Taste the Salt                                                           | 潮風の品
q40000076_00: Storage Woes                                                             | 備蓄が心配だ！
q40000077_00: Breya Materials Request                                                  | ブリア名産品の入手依頼
q40000078_00: White Wings: Collection (Breya Coast)                                    | 白翼覚者隊・収集依頼　ブリア海岸
q40000079_00: White Wings: Delivery (Breya Coast)                                      | 白翼覚者隊・納品依頼　ブリア海岸
q40000080_00: Area Order: Breya Resupply                                               | ＜エリアオーダー＞ブリア補給
q40000081_00: A Secret Agreement                                                       | ある部族との密約
q40000082_00: For Kinoza's Peace!                                                      | キノザに平和を！
q40000083_00: Bathing in Tar                                                           | 魅惑のタール風呂
q40000084_00: Peddlers and Miners                                                      | 行商人と鉱員の敵
q40000085_00: Costly Service                                                           | 高くつくと教えてあげたいの
q40000086_00: Shining Skill                                                            | 輝く戦技
q40000087_00:                                                                          | どっから湧いてきたんだい
q40000088_00: White Wings: Cooperation (Volden Mines)                                  | 白翼覚者隊・協力要請　ボルド鉱山
q40000089_00: White Wings: Elimination (Volden Mines)                                  | 白翼覚者隊・討伐任務　ボルド鉱山
q40000090_00: Area Order: Volden Demon Extermination                                   | ＜エリアオーダー＞ボルド魔物征伐
q40000091_00: Road Blocks                                                              | 鉱山は道が険しいよ
q40000092_00: Careful Selection                                                        | 厳選素材
q40000093_00: Restocking                                                               | 仕入れ仕事
q40000094_00: Famous Cuisine                                                           | 温泉宿の自慢料理
q40000095_00: Water of Paradise                                                        | 極楽！　湯の素
q40000096_00: Securing Goods                                                           | 商品確保を
q40000097_00: Volden Materials Request                                                 | ボルド名産品の入手依頼
q40000098_00: White Wings: Collection (Volden Mines)                                   | 白翼覚者隊・収集依頼　ボルド鉱山
q40000099_00: White Wings: Delivery (Volden Mines)                                     | 白翼覚者隊・納品依頼　ボルド鉱山
q40000102_00: Annoyances                                                               | うざいのよ
q40000103_00: Worries                                                                  | 心配ごとについて
q40000104_00: A Threat in Jingen                                                       | ジンゲンの脅威
q40000105_00: Enemy of the Valley                                                      | 谷合いの強敵
q40000106_00: Barrier Defense                                                          | 関所警備情報
q40000107_00: Back Pains                                                               | ぎっくり腰の原因
q40000108_00: White Wings: Cooperation (Dowe Valley)                                   | 白翼覚者隊・協力要請　ダウ渓谷
q40000109_00: White Wings: Elimination (Dowe Valley)                                   | 白翼覚者隊・討伐任務　ダウ渓谷
q40000110_00: Area Order: Dowe Demon Extermination                                     | ＜エリアオーダー＞ダウ魔物征伐
q40000111_00: Supplies for Jingen                                                      | ジンゲンの物資手配依頼
q40000112_00: A Plea for Stock                                                         | 仕入れのお願い
q40000113_00: Worth the Price                                                          | 価値ある品
q40000114_00: Back Pain Remedy                                                         | 腰の治療薬
q40000115_00: Preparation Is Key                                                       | 備えは万端に
q40000116_00: Refusal to Transact?                                                     | 取引しない？
q40000117_00: Dowe Materials Request                                                   | ダウ名産品の入手依頼
q40000118_00: White Wings: Collection (Dowe Valley)                                    | 白翼覚者隊・収集依頼　ダウ渓谷
q40000119_00: White Wings: Delivery (Dowe Valley)                                      | 白翼覚者隊・納品依頼　ダウ渓谷
q40000120_00: Area Order: Dowe Resupply                                                | ＜エリアオーダー＞ダウ補給
q40000121_00: A Disturbance in Lynwood                                                 | リンウッド悩みの種
q40000122_00: Vengeful Shadows                                                         | 木陰の殺気
q40000123_00: Postponement                                                             | 遊びに行きたいのに！
q40000124_00: In the Forest                                                            | 森に潜む危機
q40000125_00: Eyewitness                                                               | まずいヤツ目撃情報
q40000126_00: A Thievery                                                               | 採取の邪魔者
q40000127_00: Fenced Off                                                               | 庭の侵入者
q40000128_00: White Wings: Cooperation (Mysree Forest)                                 | 白翼覚者隊・協力要請　ミスリウ森林
q40000129_00: White Wings: Elimination (Mysree Forest)                                 | 白翼覚者隊・討伐任務　ミスリウ森林
q40000130_00: Area Order: Mysree Demon Extermination                                   | ＜エリアオーダー＞ミスリウ魔物征伐
q40000131_00: Gift of the Forest                                                       | 森の恵み
q40000132_00: Resupply                                                                 | 仕入れ手伝い募集
q40000133_00: The Secret Treasure                                                      | 内緒で宝物持ってきて！
q40000134_00: A Reprieve                                                               | 合間の一杯
q40000135_00: Allures of a Meal                                                        | 料理のアクセント
q40000136_00: A Sorceress' Charm                                                       | 魔法使いのおまもり
q40000137_00: Request for Elixir Ingredients                                           | 秘薬の材料依頼
q40000138_00: White Wings: Collection (Mysree Forest)                                  | 白翼覚者隊・収集依頼　ミスリウ森林
q40000139_00: White Wings: Delivery (Mysree Forest)                                    | 白翼覚者隊・納品依頼　ミスリウ森林
q40000140_00: Area Order: Mysree Resupply                                              | ＜エリアオーダー＞ミスリウ補給
q40000141_00: An Inch from Death                                                       | 死ヌカと思ッタ！
q40000142_00: Avenge Me!                                                               | 仕返シシテクレ！
q40000143_00: Loathing                                                                 | アイツら嫌イ
q40000144_00: Monsters Beyond                                                          | 外ノ魔物ヤっパり怖イ
q40000145_00: Shaken!!                                                                 | オデ、強イ！！
q40000146_00: A Notice                                                                 | 要チュウイ
q40000147_00: Danger, Danger                                                           | きけん、アブナイ
q40000148_00: Royal Orders: Resolution                                                 | 王ノ命令　邪魔モノ排除
q40000149_00: Royal Orders: Competition                                                | 王ノ命令　別勢力ノ排除
q40000150_00: Area Order: Defense                                                      | ＜エリアオーダー＞危険ノ撃退
q40000151_00: The King's Favorite                                                      | 王ノ好物
q40000152_00: Nowhere to Be Found!!                                                    | アレがナイ！！
q40000153_00: Aggression                                                               | ヨコセ、齧るド！！
q40000154_00: Human Protection                                                         | ニンゲンヨケ
q40000155_00: Monsters Beyond                                                          | 外ノ魔物怖イ
q40000156_00: Shaken!!                                                                 | オデ、偉イ！！
q40000157_00: Running Out                                                              | たくわえ、少ナイ
q40000158_00: Royal Offering: Coin                                                     | 今日ノ王へノ捧ゲ物　小遣イアリ
q40000159_00: Royal Offering: Toll                                                     | 今日ノ王へノ捧ゲ物　報酬アリ
q40000160_00: Area Order: Hobolic Gathering                                            | ＜エリアオーダー＞ホボリック蒐集
q40000161_00: Threat Surrounding Drawan                                                | ドラワン周辺の脅威
q40000162_00: A Wasteland Mystery                                                      | 荒れ地の怪
q40000163_00: Orc Scouts                                                               | オーク軍の斥候
q40000164_00: That Bastard!!                                                           | あんにゃろう！！
q40000165_00: For a Safe Harvest                                                       | 安全な採取のために
q40000166_00: Livestock's Natural Enemy                                                | 家畜の天敵
q40000167_00: Call for Extermination                                                   | 討伐協力を頼む
q40000168_00: White Wings: Cooperation (Northern Betland)                              | 白翼覚者隊・協力要請　バートランド北部
q40000169_00: White Wings: Elimination (Northern Betland)                              | 白翼覚者隊・討伐任務　バートランド北部
q40000170_00: Area Order: Drawan Outskirts Demon Extermination                         | ＜エリアオーダー＞ドラワン近郊魔物征伐
q40000171_00: A Most Pressing Need                                                     | どうにか調達をお願いする
q40000172_00: A Wife's Endeavour                                                       | 女房の努め
q40000173_00: Requisition Agent Required                                               | 素材採取代行探してます
q40000174_00: Afraid of the Outdoors                                                   | 外出が恐ろしくて
q40000175_00: A Mere Transaction                                                       | 取引
q40000176_00: Provide This, Please                                                     | 譲ってください
q40000177_00: Northern Betland Materials Request                                       | バートランド北部名産品の入手依頼
q40000178_00: White Wings: Collection (Northern Betland)                               | 白翼覚者隊・収集依頼　バートランド北部
q40000179_00: White Wings: Delivery (Northern Betland)                                 | 白翼覚者隊・納品依頼　バートランド北部
q40000180_00: Area Order: Northern Betland Resupply                                    | ＜エリアオーダー＞バートランド北部補給
q40000181_00: Those Bothersome Things                                                  | 苦手なアレ
q40000182_00: No One-on-Ones                                                           | イチイチ戦ってらんねぇよ
q40000183_00: How Tiresome!                                                            | ああいやだいやだ
q40000184_00:                                                                          | 剛の者求むッ！！
q40000185_00:                                                                          | 手が空いてたら
q40000186_00:                                                                          | 試させて貰うわ
q40000187_00:                                                                          | ゾマに安全を！
q40000188_00: White Wings: Cooperation (Eastern Zandora)                               | 白翼覚者隊・協力要請　ザンドラ東部
